Date/Time,Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa)
2018-04-01 00:00,2018,04,01,00:00,6.8,-3.2,49,21,8,99.77
2018-04-01 01:00,2018,04,01,01:00,6.4,1.9,73,20,13,99.63
2018-04-01 02:00,2018,04,01,02:00,6.6,2.3,74,20,12,99.53
2018-04-01 03:00,2018,04,01,03:00,7.3,2.6,72,20,14,99.44
2018-04-01 04:00,2018,04,01,04:00,6.8,2.9,76,21,12,99.43
2018-04-01 05:00,2018,04,01,05:00,5.9,2.5,79,20,3,99.49
2018-04-01 06:00,2018,04,01,06:00,4.2,-2.1,63,24,7,99.7
2018-04-01 07:00,2018,04,01,07:00,3.1,-3.7,61,21,9,99.9
2018-04-01 08:00,2018,04,01,08:00,2.5,-7.2,49,22,10,100.08
2018-04-01 09:00,2018,04,01,09:00,1.7,-6.5,54,22,8,100.21
2018-04-01 10:00,2018,04,01,10:00,1.4,-8.4,48,25,9,100.37
2018-04-01 11:00,2018,04,01,11:00,1.2,-9.1,46,25,7,100.49
2018-04-01 12:00,2018,04,01,12:00,1.1,-9.4,46,22,9,100.54
2018-04-01 13:00,2018,04,01,13:00,1.1,-10.6,41,25,7,100.61
2018-04-01 14:00,2018,04,01,14:00,1.5,-11.9,36,24,10,100.62
2018-04-01 15:00,2018,04,01,15:00,2,-11.2,37,27,9,100.67
2018-04-01 16:00,2018,04,01,16:00,2,-11.3,37,22,7,100.7
2018-04-01 17:00,2018,04,01,17:00,1.7,-13.4,32,26,7,100.72
2018-04-01 18:00,2018,04,01,18:00,1.1,-12.2,36,22,5,100.75
2018-04-01 19:00,2018,04,01,19:00,0.8,-11.5,39,10,3,100.81
2018-04-01 20:00,2018,04,01,20:00,0,-10.9,43,6,2,100.9
2018-04-01 21:00,2018,04,01,21:00,-0.1,-11.9,41,7,4,100.93
2018-04-01 22:00,2018,04,01,22:00,-0.5,-12.7,39,12,2,100.9
2018-04-01 23:00,2018,04,01,23:00,-0.5,-11.7,42,22,4,100.92
2018-04-02 00:00,2018,04,02,00:00,-0.5,-11,45,28,2,100.97
2018-04-02 01:00,2018,04,02,01:00,-0.6,-12.1,41,27,4,100.98
2018-04-02 02:00,2018,04,02,02:00,-0.9,-11.2,45,33,6,100.93
2018-04-02 03:00,2018,04,02,03:00,-1.6,-9.9,53,3,5,100.91
2018-04-02 04:00,2018,04,02,04:00,-1.8,-10.6,51,3,4,100.94
2018-04-02 05:00,2018,04,02,05:00,-2,-10.7,52,9,5,100.97
2018-04-02 06:00,2018,04,02,06:00,-2,-10.7,51,5,3,100.99
2018-04-02 07:00,2018,04,02,07:00,-1.4,-9.8,53,19,5,101.06
2018-04-02 08:00,2018,04,02,08:00,-0.6,-9.6,50,16,6,101.05
2018-04-02 09:00,2018,04,02,09:00,-0.3,-10.8,45,29,6,101.05
2018-04-02 10:00,2018,04,02,10:00,1.1,-11.5,39,19,7,101.01
2018-04-02 11:00,2018,04,02,11:00,1.3,-11.2,39,22,9,101.01
2018-04-02 12:00,2018,04,02,12:00,1.9,-12,35,23,11,101
2018-04-02 13:00,2018,04,02,13:00,2.9,-10.8,36,21,9,100.97
2018-04-02 14:00,2018,04,02,14:00,2.9,-9.6,39,19,9,100.92
2018-04-02 15:00,2018,04,02,15:00,3.5,-9.8,37,21,11,100.85
2018-04-02 16:00,2018,04,02,16:00,3.7,-9.2,38,20,8,100.87
2018-04-02 17:00,2018,04,02,17:00,4.1,-8.4,40,21,10,100.86
2018-04-02 18:00,2018,04,02,18:00,3.7,-8.1,42,25,3,100.89
2018-04-02 19:00,2018,04,02,19:00,3.2,-7.6,45,27,3,100.91
2018-04-02 20:00,2018,04,02,20:00,2.4,-6.6,51,19,2,100.97
2018-04-02 21:00,2018,04,02,21:00,2.6,-6.9,49,21,3,101
2018-04-02 22:00,2018,04,02,22:00,2.3,-5.4,56,22,4,100.96
2018-04-02 23:00,2018,04,02,23:00,2.3,-6.6,52,20,7,100.95
2018-04-03 00:00,2018,04,03,00:00,2.3,-7.5,48,19,6,100.98
2018-04-03 01:00,2018,04,03,01:00,2.2,-7.3,49,20,8,100.97
2018-04-03 02:00,2018,04,03,02:00,2,-6.7,52,21,6,100.98
2018-04-03 03:00,2018,04,03,03:00,1.7,-5.8,57,21,4,101
2018-04-03 04:00,2018,04,03,04:00,1.7,-5.4,59,22,4,101.09
2018-04-03 05:00,2018,04,03,05:00,1.3,-5.5,60,22,2,101.05
2018-04-03 06:00,2018,04,03,06:00,0.9,-5.6,62,24,3,101.05
2018-04-03 07:00,2018,04,03,07:00,1.6,-5.7,58,27,3,101.14
2018-04-03 08:00,2018,04,03,08:00,2.9,-6.6,50,27,4,101.12
2018-04-03 09:00,2018,04,03,09:00,3.6,-9.3,38,3,4,101.11
2018-04-03 10:00,2018,04,03,10:00,4.1,-8.4,40,10,5,101.11
2018-04-03 11:00,2018,04,03,11:00,3.9,-9.2,38,2,6,101.06
2018-04-03 12:00,2018,04,03,12:00,4.6,-7.7,40,3,6,100.97
